px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
14.1597	2.85971	5.09524	0.494252	0.312633	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0
14.409	2.96775	5.15491	0.493973	0.286159	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0
14.6169	3.03914	5.1031	0.488126	0.262234	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0
14.8472	3.19157	5.15817	0.510605	0.268978	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0
15.0538	3.38356	5.18058	0.555389	0.307196	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0
15.2644	3.55136	5.17187	0.588232	0.332586	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0
15.4776	3.73749	5.20044	0.622374	0.353545	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0
15.6894	3.87229	5.18858	0.631912	0.343879	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0
15.9117	4.0138	5.19385	0.640473	0.333221	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0
16.1069	4.17969	5.15522	0.669602	0.356791	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0
16.3046	4.373	5.17864	0.700719	0.3725	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0
16.5146	4.53698	5.19441	0.713035	0.363005	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0
16.6937	4.7043	5.17555	0.73327	0.36593	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0
16.8455	4.90268	5.09813	0.783718	0.423619	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0
17.0103	5.12552	5.12377	0.823729	0.445875	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0
17.1795	5.29923	5.09418	0.844057	0.448231	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0
17.3402	5.47831	5.07593	0.863481	0.445081	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0
17.4953	5.65207	5.03193	0.885171	0.451343	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0
17.6911	5.77308	4.98587	0.870907	0.408367	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0
17.8326	5.97411	4.95457	0.906635	0.436911	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0
18.0085	6.1603	4.96389	0.917426	0.423488	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0
18.1568	6.36959	4.97523	0.942363	0.427986	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0
18.279	6.60374	4.99429	0.9805	0.447536	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0
18.4095	6.81962	4.991	1.00944	0.458662	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0
18.5597	6.95556	4.91594	1.00274	0.4252	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0
18.7087	7.16183	4.94292	1.01148	0.402474	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0
18.908	7.2978	4.90073	0.986635	0.350324	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	0
