px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
68.3546	24.3862	2.76352	0.15605	-0.0676963	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	0
70.815	24.8802	2.77712	0.222991	0.0177903	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0
70.7881	24.8623	2.69725	0.131225	-0.123306	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0
72.8965	24.7172	2.6946	-0.183681	-0.245253	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0
72.9455	24.7286	2.68566	-0.231516	-0.334946	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0
75.0812	25.2049	2.47415	0.139066	0.108216	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0
75.051	25.1932	2.42103	0.0514307	-0.0380021	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0
77.119	24.9341	2.43535	-0.206049	-0.179962	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0
77.1412	24.9216	2.39593	-0.382158	-0.472054	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0
79.1612	24.9694	2.221	-0.0945784	0.00623305	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0
79.1543	24.9654	2.19862	-0.177075	-0.141534	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0
80.8367	24.8559	2.13974	-0.0958669	0.00357445	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0
80.8776	24.8551	2.0927	-0.256763	-0.289552	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0
82.627	24.6254	2.05804	-0.182272	-0.0576958	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0
82.6065	24.6088	2.02584	-0.326296	-0.289795	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0
84.2056	24.5173	1.93384	-0.127818	0.0188543	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0
84.2039	24.512	1.91326	-0.203289	-0.110006	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0
85.6507	23.813	1.91375	-0.560819	-0.26651	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0
85.7028	23.8316	1.92337	-0.515254	-0.220795	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0
87.0349	23.4458	1.72384	-0.399106	-0.0186442	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0
87.119	23.4737	1.7262	-0.450509	-0.184744	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	0
88.7655	22.8024	1.78344	-0.350009	-0.00121002	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0
88.7054	22.7764	1.75958	-0.489167	-0.187303	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0
89.5952	22.2497	1.61218	-0.676859	-0.193933	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	0
89.6303	22.2576	1.61254	-0.709976	-0.280588	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0
90.5701	21.5882	1.46627	-0.769859	-0.151878	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0
90.6484	21.6181	1.48034	-0.60262	0.0577478	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	0
91.7469	21.0874	1.41625	-0.391224	0.156111	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0
91.7958	21.0981	1.40898	-0.477215	-0.0345674	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	0
92.8834	20.9229	1.34538	-0.119378	0.209553	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0
92.9433	20.9352	1.31472	-0.199965	0.0298167	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	0
93.536	20.2294	1.26473	-0.877159	-0.393715	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	0
93.5858	20.2643	1.28483	-0.680711	-0.148043	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0
95.1784	19.7062	1.43438	0.0207572	0.407576	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	0
95.0375	19.6795	1.32427	-0.246937	0.0972889	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	0
95.5767	19.6809	1.22965	-0.0189015	0.186968	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0
95.5705	19.6699	1.17646	-0.139961	0.0330274	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0
96.2873	19.1745	1.15891	-0.643071	-0.278723	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0
96.3241	19.1844	1.16709	-0.60711	-0.245867	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0
97.4646	18.737	1.20892	-0.257086	0.125172	97.5286	18.727	97.45	18.506	0.868716	-0.503009	0
97.4475	18.7296	1.19036	-0.34224	0.00867305	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0
98.2327	18.3705	1.16723	-0.416443	-0.0394458	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0
98.2502	18.3656	1.15577	-0.490691	-0.152811	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0
99.0123	17.3951	1.22809	-1.13266	-0.438609	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0
99.0372	17.4404	1.23537	-0.726732	0.123898	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0
99.999	16.9614	1.20017	-0.33983	0.285785	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0
100.056	16.9738	1.19844	-0.374344	0.168722	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	0
101.164	16.5492	1.25317	-0.274902	0.122673	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0
101.155	16.5386	1.23327	-0.365231	0.00386717	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0
102.347	16.3968	1.26294	0.0374878	0.24046	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0
102.281	16.3807	1.22285	-0.0479204	0.163513	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	0
103.03	15.3927	1.21039	-1.20432	-0.605168	103.003	15.353	103.119	15.4967	1.11708	-0.508169	0
102.975	15.4559	1.22548	-0.667268	0.0659629	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	0
104.101	15.2258	1.18935	-0.0193298	0.425195	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0
104.064	15.2129	1.19377	-0.0417695	0.428839	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0
105.478	14.4724	1.30377	-0.911275	-0.371332	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	0
105.432	14.5172	1.33425	-0.537323	0.0970447	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0
106.762	14.0599	1.41036	-0.162716	0.279245	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0
106.724	14.0539	1.41655	-0.137362	0.351339	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0
108.056	13.6721	1.4675	-0.238819	0.0698759	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0
108.072	13.6893	1.503	-0.110755	0.23848	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0
109.503	13.5731	1.54218	0.0203081	0.171527	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0
109.475	13.5694	1.54511	0.0236874	0.180108	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0
111.035	12.608	1.58854	-1.00645	-0.547699	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	0
